Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
'0805,"Citrus fruit, fresh or dried",12036071.0,12043767.0,13202813.0,13086801.0,12615878.0,13407591.0,13880535.0,14913665.0,14076002.0,16258704.0,16357266.0
'0806,"Grapes, fresh or dried",8895048.0,9165134.0,9749742.0,9993711.0,9145873.0,9251376.0,9713200.0,10122732.0,10436909.0,11093212.0,11367844.0
'0807,"Melons, incl. watermelons, and papaws (papayas), fresh",2805633.0,2904033.0,3334829.0,3488285.0,3359706.0,3620311.0,3569228.0,4003013.0,3993973.0,3952548.0,4289228.0
'0808,"Apples, pears and quinces, fresh",9896055.0,10104124.0,11050171.0,10469209.0,9548691.0,9675940.0,10240171.0,10295024.0,9917725.0,10452255.0,10885597.0
'0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",4873645.0,5285806.0,5598330.0,5508980.0,5116233.0,5489535.0,5655851.0,6399640.0,6786379.0,7355150.0,8451536.0
'0810,"""Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ...",8806173.0,9739255.0,9974962.0,10961808.0,11359909.0,13199861.0,15040133.0,16911486.0,18820859.0,19928614.0,24236197.0
'0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ...",3820761.0,3865315.0,4053005.0,4223788.0,4224816.0,4135640.0,4238659.0,4777069.0,4986781.0,5657267.0,7154037.0
'0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",189762.0,189475.0,199491.0,204189.0,204881.0,206988.0,224638.0,236769.0,235703.0,210987.0,236375.0
'0813,"""Dried apricots, prunes, apples, peaches, pears, papaws """"papayas"""", tamarinds and other edible ...",2193312.0,2258683.0,2273091.0,2503106.0,2414702.0,2479149.0,2591502.0,2482318.0,2303125.0,2481031.0,2977913.0
'0814,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",72698.0,80702.0,87974.0,99184.0,130463.0,105894.0,110479.0,116338.0,110354.0,102649.0,113990.0
'0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ...",35968658.0,33024219.0,28594919.0,31897560.0,30375976.0,30276725.0,32470959.0,30535417.0,29594449.0,30735212.0,36371362.0
'0902,"Tea, whether or not flavoured",7106864.0,7211736.0,7860547.0,7627462.0,7297575.0,7434084.0,8075066.0,7855268.0,8241330.0,8158557.0,8628983.0
'0903,Mate,117301.0,147900.0,197531.0,239013.0,236919.0,172483.0,177938.0,199657.0,183250.0,223262.0,203782.0
'0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the ...,3295669.0,3649875.0,3685564.0,4484027.0,5067100.0,4923918.0,4424004.0,3727612.0,3732433.0,4038236.0,4984891.0
'0905,Vanilla,87464.0,94398.0,162719.0,299131.0,395691.0,761138.0,1203305.0,1380859.0,1067275.0,886107.0,945969.0
'0906,Cinnamon and cinnamon-tree flowers,338860.0,327340.0,385128.0,471809.0,484858.0,505735.0,661745.0,728415.0,752579.0,1032890.0,1101137.0
'0907,"Cloves, whole fruit, cloves and stems",737061.0,418228.0,337868.0,410723.0,360044.0,392358.0,500866.0,436862.0,332349.0,379525.0,430151.0
'0908,"Nutmeg, mace and cardamoms",763923.0,752970.0,674654.0,687718.0,704260.0,632735.0,842669.0,914613.0,1235445.0,1816838.0,1450064.0
'0909,"Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries",642728.0,622977.0,722093.0,827377.0,796588.0,865125.0,929412.0,1001101.0,1103599.0,1278671.0,1397366.0
'0910,"""Ginger, saffron, turmeric """"curcuma"""", thyme, bay leaves, curry and other spices (excluding ...",2309649.0,2169852.0,2243366.0,2539458.0,2334081.0,2412217.0,2702977.0,2869374.0,2952375.0,3587567.0,3510341.0
'1001,Wheat and meslin,47504556.0,48907956.0,49120013.0,47807828.0,38723952.0,36514238.0,39079902.0,41100313.0,40378695.0,44865347.0,56486653.0
'1002,Rye,296250.0,420643.0,507859.0,397307.0,260934.0,192025.0,200924.0,337700.0,322325.0,450432.0,539243.0
'1003,Barley,7468664.0,7896496.0,8692999.0,7848998.0,7786868.0,6182948.0,6975393.0,7658638.0,6865836.0,7419193.0,10731088.0
'1004,Oats,817262.0,811617.0,738490.0,852959.0,740827.0,639780.0,637733.0,728711.0,793712.0,912158.0,1044884.0
'1005,Maize or corn,34427818.0,35826717.0,35347148.0,32986807.0,28687467.0,29332659.0,30292625.0,33825967.0,35837521.0,36708640.0,51865184.0
'1006,Rice,24410223.0,24082608.0,25782217.0,26608334.0,23250039.0,20684882.0,24389412.0,26017800.0,24123694.0,25600489.0,27192455.0
'1007,Grain sorghum,1576932.0,1333043.0,1556318.0,2238875.0,3156369.0,1796458.0,1506957.0,1237757.0,854598.0,1731071.0,3211686.0
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",786081.0,784675.0,1036760.0,1259358.0,1078167.0,876844.0,893537.0,924754.0,1013654.0,1195291.0,1198124.0
'1101,Wheat or meslin flour,5549775.0,5215296.0,5409429.0,5144276.0,4878171.0,4767893.0,4829910.0,4907462.0,5100155.0,4877999.0,5300735.0
'1102,Cereal flours (excluding wheat or meslin),750868.0,712670.0,759670.0,793788.0,727659.0,810814.0,885704.0,991745.0,938017.0,1085033.0,1132675.0
'1103,"Cereal groats, meal and pellets",1062417.0,1083753.0,1217299.0,1255383.0,1052671.0,1026443.0,1029002.0,979038.0,1002849.0,1181768.0,1270299.0
'1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ...",1425720.0,1367509.0,1315721.0,1356404.0,1261978.0,1291476.0,1351270.0,1482548.0,1589662.0,1834859.0,2245792.0
'1105,"Flour, meal, powder, flakes, granules and pellets of potatoes",574846.0,594184.0,595626.0,675160.0,616959.0,573260.0,627819.0,707863.0,731853.0,775296.0,820973.0
'1106,"""Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ...",369559.0,380564.0,452406.0,480979.0,530980.0,535140.0,547584.0,610025.0,633006.0,717796.0,888616.0
'1107,"Malt, whether or not roasted",3481056.0,4036638.0,4083969.0,4017692.0,3472010.0,3399703.0,3474881.0,3653524.0,3889215.0,3472341.0,4171231.0
'1108,Starches; inulin,3584367.0,3623747.0,3768913.0,3868465.0,3766810.0,3673803.0,3599850.0,4332253.0,4342346.0,4352289.0,5578353.0
'1109,"Wheat gluten, whether or not dried",906334.0,766186.0,967510.0,1256305.0,1203715.0,1300472.0,1488404.0,1682687.0,1444942.0,1386665.0,1745456.0
'1201,"Soya beans, whether or not broken",45627576.0,53391037.0,57460474.0,59033252.0,51145133.0,52525752.0,58048026.0,59266265.0,55267560.0,63830642.0,78189902.0
'1202,"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)",2532601.0,2755216.0,2454757.0,2307664.0,2338933.0,2786436.0,2783431.0,2465132.0,3164257.0,4127154.0,4265980.0
'1204,"Linseed, whether or not broken",655508.0,908279.0,921737.0,983205.0,876147.0,872095.0,805418.0,800690.0,883451.0,1004588.0,1347461.0
'1205,"Rape or colza seeds, whether or not broken",10852346.0,12441144.0,12489454.0,11150920.0,9061317.0,9246240.0,11401098.0,10388402.0,8944287.0,11097647.0,14329208.0
'1206,"Sunflower seeds, whether or not broken",3783461.0,3511744.0,4219166.0,3456368.0,3072599.0,3383765.0,3634791.0,4109142.0,4431571.0,4704493.0,4709057.0
'1207,"Other oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, ...",3552559.0,3996835.0,5510891.0,6061816.0,5075425.0,4301978.0,4068301.0,4795306.0,5270183.0,5384250.0,5480936.0
'1208,Flours and meals of oil seeds or oleaginous fruits (excluding mustard),1039190.0,2066074.0,2072731.0,1844237.0,1364500.0,1203341.0,1173385.0,1512959.0,1325887.0,1472691.0,1618851.0
'1209,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, ...",6604674.0,6590196.0,6819301.0,6995696.0,6417992.0,6948825.0,7341154.0,7716231.0,7605562.0,8080514.0,8731767.0
'1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",343224.0,315919.0,331138.0,374970.0,379885.0,489844.0,604169.0,684760.0,690944.0,733691.0,806050.0
'1211,"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ...",2539968.0,2663574.0,3467275.0,3559665.0,3140829.0,3201846.0,3197861.0,3218155.0,3237661.0,3587643.0,3921929.0
'1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ...",1626494.0,1474211.0,1592878.0,1796146.0,1681078.0,1614724.0,1783219.0,1896003.0,1974298.0,2022764.0,2488102.0
'1213,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",278256.0,271875.0,288813.0,266015.0,251828.0,260600.0,313869.0,340881.0,343620.0,346618.0,412920.0
'1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ...",2416192.0,2909296.0,2770906.0,2512278.0,2591611.0,2559906.0,2675520.0,2826616.0,3061446.0,3140851.0,3627717.0
