,period,reporterCode,flowCode,partnerCode,partner2Code,cmdCode,cifvalue,fobvalue,primaryValue
959,2022,792,X,0,0,8412,0.0,420032582.0,420032582.0
960,2022,792,X,0,0,8413,0.0,965931324.0,965931324.0
961,2022,792,X,0,0,8414,0.0,679733945.0,679733945.0
962,2022,792,X,0,0,8415,0.0,859028511.0,859028511.0
963,2022,792,X,0,0,8416,0.0,28763296.0,28763296.0
964,2022,792,X,0,0,8417,0.0,81672296.0,81672296.0
965,2022,792,X,0,0,8418,0.0,2615168834.0,2615168834.0
966,2022,792,X,0,0,8419,0.0,421279968.0,421279968.0
967,2022,792,X,0,0,8420,0.0,6399139.0,6399139.0
968,2022,792,X,0,0,8421,0.0,890464020.0,890464020.0
969,2022,792,X,0,0,8422,0.0,1187904835.0,1187904835.0
970,2022,792,X,0,0,8423,0.0,21283050.0,21283050.0
971,2022,792,X,0,0,8424,0.0,336698086.0,336698086.0
972,2022,792,X,0,0,8425,0.0,58391021.0,58391021.0
973,2022,792,X,0,0,8426,0.0,96262214.0,96262214.0
974,2022,792,X,0,0,8427,0.0,34073627.0,34073627.0
975,2022,792,X,0,0,8428,0.0,438797228.0,438797228.0
976,2022,792,X,0,0,8429,0.0,455822487.0,455822487.0
977,2022,792,X,0,0,8430,0.0,109318520.0,109318520.0
978,2022,792,X,0,0,8431,0.0,757771912.0,757771912.0
979,2022,792,X,0,0,8432,0.0,251902923.0,251902923.0
980,2022,792,X,0,0,8433,0.0,141634976.0,141634976.0
981,2022,792,X,0,0,8434,0.0,49771196.0,49771196.0
982,2022,792,X,0,0,8435,0.0,2956949.0,2956949.0
983,2022,792,X,0,0,8436,0.0,121429782.0,121429782.0
984,2022,792,X,0,0,8437,0.0,297735226.0,297735226.0
985,2022,792,X,0,0,8438,0.0,251216803.0,251216803.0
986,2022,792,X,0,0,8439,0.0,3031311.0,3031311.0
987,2022,792,X,0,0,8440,0.0,3524601.0,3524601.0
988,2022,792,X,0,0,8441,0.0,55700624.0,55700624.0
989,2022,792,X,0,0,8442,0.0,18230131.0,18230131.0
990,2022,792,X,0,0,8443,0.0,130375816.0,130375816.0
991,2022,792,X,0,0,8444,0.0,2371192.0,2371192.0
992,2022,792,X,0,0,8445,0.0,44164896.0,44164896.0
993,2022,792,X,0,0,8446,0.0,32605546.0,32605546.0
994,2022,792,X,0,0,8447,0.0,21696010.0,21696010.0
995,2022,792,X,0,0,8448,0.0,65807087.0,65807087.0
996,2022,792,X,0,0,8449,0.0,4357128.0,4357128.0
997,2022,792,X,0,0,8450,0.0,1002368343.0,1002368343.0
998,2022,792,X,0,0,8451,0.0,740129910.0,740129910.0
999,2022,792,X,0,0,8452,0.0,52435860.0,52435860.0
1000,2022,792,X,0,0,8453,0.0,8113138.0,8113138.0
1001,2022,792,X,0,0,8454,0.0,30658151.0,30658151.0
1002,2022,792,X,0,0,8455,0.0,109099909.0,109099909.0
1003,2022,792,X,0,0,8456,0.0,130446198.0,130446198.0
1004,2022,792,X,0,0,8457,0.0,34567893.0,34567893.0
1005,2022,792,X,0,0,8458,0.0,50088420.0,50088420.0
1006,2022,792,X,0,0,8459,0.0,16972600.0,16972600.0
1007,2022,792,X,0,0,8460,0.0,29641878.0,29641878.0
1008,2022,792,X,0,0,8461,0.0,48572345.0,48572345.0
1009,2022,792,X,0,0,8462,0.0,470693277.0,470693277.0
1010,2022,792,X,0,0,8463,0.0,44111499.0,44111499.0
1011,2022,792,X,0,0,8464,0.0,28088741.0,28088741.0
1012,2022,792,X,0,0,8465,0.0,155638308.0,155638308.0
1013,2022,792,X,0,0,8466,0.0,114487365.0,114487365.0
1014,2022,792,X,0,0,8467,0.0,30840240.0,30840240.0
1015,2022,792,X,0,0,8468,0.0,7720147.0,7720147.0
1016,2022,792,X,0,0,8470,0.0,6379996.0,6379996.0
1017,2022,792,X,0,0,8471,0.0,159786967.0,159786967.0
1018,2022,792,X,0,0,8472,0.0,4208387.0,4208387.0
1019,2022,792,X,0,0,8473,0.0,56088183.0,56088183.0
1020,2022,792,X,0,0,8474,0.0,665355183.0,665355183.0
1021,2022,792,X,0,0,8475,0.0,19013884.0,19013884.0
1022,2022,792,X,0,0,8476,0.0,3928713.0,3928713.0
1023,2022,792,X,0,0,8477,0.0,307011926.0,307011926.0
1024,2022,792,X,0,0,8478,0.0,4801988.0,4801988.0
1025,2022,792,X,0,0,8479,0.0,674948845.0,674948845.0
1026,2022,792,X,0,0,8480,0.0,275373331.0,275373331.0
1027,2022,792,X,0,0,8481,0.0,845796034.0,845796034.0
1028,2022,792,X,0,0,8482,0.0,169787752.0,169787752.0
1029,2022,792,X,0,0,8483,0.0,769393749.0,769393749.0
1030,2022,792,X,0,0,8484,0.0,65632428.0,65632428.0
1031,2022,792,X,0,0,8485,0.0,7921317.0,7921317.0
1032,2022,792,X,0,0,8486,0.0,1233088.0,1233088.0
1033,2022,792,X,0,0,8487,0.0,113623440.0,113623440.0
1034,2022,792,X,0,0,8501,0.0,328609437.0,328609437.0
1035,2022,792,X,0,0,8502,0.0,690186741.0,690186741.0
1036,2022,792,X,0,0,8503,0.0,617771296.0,617771296.0
1037,2022,792,X,0,0,8504,0.0,1518812523.0,1518812523.0
1038,2022,792,X,0,0,8505,0.0,42038116.0,42038116.0
1039,2022,792,X,0,0,8506,0.0,4929881.0,4929881.0
1040,2022,792,X,0,0,8507,0.0,571427090.0,571427090.0
1041,2022,792,X,0,0,8508,0.0,107999596.0,107999596.0
1042,2022,792,X,0,0,8509,0.0,61692002.0,61692002.0
1043,2022,792,X,0,0,8510,0.0,6681354.0,6681354.0
1044,2022,792,X,0,0,8511,0.0,273270972.0,273270972.0
1045,2022,792,X,0,0,8512,0.0,285881247.0,285881247.0
1046,2022,792,X,0,0,8513,0.0,3913626.0,3913626.0
1047,2022,792,X,0,0,8514,0.0,73492636.0,73492636.0
1048,2022,792,X,0,0,8515,0.0,67630213.0,67630213.0
1049,2022,792,X,0,0,8516,0.0,1482880677.0,1482880677.0
1050,2022,792,X,0,0,8517,0.0,305588019.0,305588019.0
1051,2022,792,X,0,0,8518,0.0,18274137.0,18274137.0
1052,2022,792,X,0,0,8519,0.0,1108568.0,1108568.0
1053,2022,792,X,0,0,8521,0.0,2101998.0,2101998.0
1054,2022,792,X,0,0,8522,0.0,172361.0,172361.0
1055,2022,792,X,0,0,8523,0.0,36597151.0,36597151.0
1056,2022,792,X,0,0,8524,0.0,1186573.0,1186573.0
1057,2022,792,X,0,0,8525,0.0,53096069.0,53096069.0
1058,2022,792,X,0,0,8526,0.0,57409618.0,57409618.0
1059,2022,792,X,0,0,8527,0.0,2212433.0,2212433.0
1060,2022,792,X,0,0,8528,0.0,982403714.0,982403714.0
1061,2022,792,X,0,0,8529,0.0,47103274.0,47103274.0
1062,2022,792,X,0,0,8530,0.0,11170185.0,11170185.0
1063,2022,792,X,0,0,8531,0.0,41130348.0,41130348.0
1064,2022,792,X,0,0,8532,0.0,6545197.0,6545197.0
1065,2022,792,X,0,0,8533,0.0,9200202.0,9200202.0
1066,2022,792,X,0,0,8534,0.0,11386943.0,11386943.0
1067,2022,792,X,0,0,8535,0.0,104225900.0,104225900.0
1068,2022,792,X,0,0,8536,0.0,786334762.0,786334762.0
1069,2022,792,X,0,0,8537,0.0,686982749.0,686982749.0
1070,2022,792,X,0,0,8538,0.0,212070658.0,212070658.0
1071,2022,792,X,0,0,8539,0.0,35996913.0,35996913.0
1072,2022,792,X,0,0,8540,0.0,959457.0,959457.0
1073,2022,792,X,0,0,8541,0.0,266375384.0,266375384.0
1074,2022,792,X,0,0,8542,0.0,41381965.0,41381965.0
1075,2022,792,X,0,0,8543,0.0,97581752.0,97581752.0
1076,2022,792,X,0,0,8544,0.0,3648039185.0,3648039185.0
1077,2022,792,X,0,0,8545,0.0,28258925.0,28258925.0
1078,2022,792,X,0,0,8546,0.0,16046643.0,16046643.0
1079,2022,792,X,0,0,8547,0.0,35485044.0,35485044.0
