Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...",2858,4541,10820,3688,3354,3120,7206,22958,11483,11174,11670,27189
'1511,"Palm oil and its fractions, whether or not refined (excluding chemically modified)",1971,2443,30607,9750,1105,2540,3558,2795,51676,119724,209783,290451
'1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ...",341463,417808,496953,794431,685018,637296,550662,423047,500803,736898,937160,1898969
'1513,"""Coconut """"copra"""", palm kernel or babassu oil and fractions thereof, whether or not refined, ...",2,0,7056,1030,9,26,20,50,1034,3335,6545,21303
'1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...",4487,1722,1035,1659,883,1004,2854,7876,1115,8837,17797,26312
'1515,"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ...",53702,50204,88706,63836,52529,85051,59037,69017,80505,86008,143546,147032
'1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",370332,480575,329752,34860,11678,7728,6561,3265,9786,6683,14069,22854
'1517,"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ...",181229,152586,185731,180665,156966,189415,149248,136788,113086,97918,203826,245954
'1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",2591,3370,1537,1940,2396,4171,5052,3929,3061,5305,5741,15533
'1520,"Glycerol, crude; glycerol waters and glycerol lyes",544,256,179,163,329,209,111,474,260,902,1814,6745
'1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ...",92,222,207,250,127,97,86,198,365,283,340,694
'1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,341,98,323,242,3,118,304,124,135,82,58,595
'1601,"Sausages and similar products, of meat, offal or blood; food preparations based on these products",18027,25201,29141,29196,19866,12654,19164,19161,22058,26001,37351,42520
'1602,"Prepared or preserved meat, offal or blood (excluding sausages and similar products, and meat ...",16298,17159,22629,26540,19082,15654,32457,43375,53664,49839,74495,115876
'1603,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates",354,87,277,295,187,263,341,169,205,194,208,206
'1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10342,10990,28889,34608,26219,26829,39921,49047,31190,32975,55268,76763
'1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)",20425,21093,18668,20396,17822,18795,17555,19019,21050,19257,23965,33058
'1701,"Cane or beet sugar and chemically pure sucrose, in solid form",58171,25437,55176,40023,6004,10029,3196,24236,23766,23577,150940,28150
'1702,"Other sugars, incl. chemically pure lactose, maltose, glucose and fructose, in solid form; ...",87076,76365,99246,122005,110028,104692,126116,129030,135649,159969,206509,246109
'1703,Molasses resulting from the extraction or refining of sugar,34,34,194,101,27,28,35,367,272,200,254,237
'1704,"Sugar confectionery not containing cocoa, incl. white chocolate",328887,402853,479617,530106,440970,413018,456602,446308,481523,487048,635899,795701
'1801,"Cocoa beans, whole or broken, raw or roasted",2,1507,6066,8507,6961,9223,3128,5183,3676,12513,6463,1656
'1802,"Cocoa shells, husks, skins and other cocoa waste",0,2,16,1,0,0,0,0,0,94,14,2
'1803,"Cocoa paste, whether or not defatted",9292,7301,8990,6889,7240,7086,4660,5041,6148,7542,4291,8011
'1804,"Cocoa butter, fat and oil",13121,14305,18297,19155,35271,22578,21774,44041,40011,25672,19594,26668
'1805,"Cocoa powder, not containing added sugar or other sweetening matter",53657,48348,37572,28359,31129,34610,35092,42433,50335,52354,56759,64436
'1806,Chocolate and other food preparations containing cocoa,433849,478542,545043,579363,475103,402986,458501,504426,565720,554842,688415,841811
'1901,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",28569,30538,35532,45474,27719,26475,27127,25107,44994,31002,28676,40622
'1902,"Pasta, whether or not cooked or stuffed with meat or other substances or otherwise prepared, ...",285288,357850,494870,507160,418183,422354,490647,552416,608508,761284,777397,964539
